iS#theme	mS#title	S#text	iD#score	cD#comp1	iD#comp2	iD#comp3	iD#comp4	iD#comp5
"Forma física, corpo perfeito e consumismo"	"Corpolatria"	"A busca incessante pelo corpo perfeito remonta à Antiguidade e, também, vem ganhando destaque na atualidade. Esse fenômeno, conhecido como corpolatria, é resultado de uma sociedade narcisista e altamente influenciável pela mídia que, por sua vez, impõe um rígido padrão de beleza e aceitação social. Tal padrão funciona como uma ferramenta de discriminação social e pode gerar riscos à saúde, o que justifica, portanto, a necessidade de repensar os limites da vaidade. Desde a Grécia Antiga, o culto ao corpo tornou-se uma questão tão importante que originou até uma competição grandiosa: os Jogos Olímpicos de Atenas. Nessa competição, o vigor físico e a perfeição corporal tornaram-se critérios de beleza, da mesma forma que, no mundo contemporâneo, essas características são usadas como sinônimos de “status” e, até mesmo, vantagem profissional. No âmbito profissional, as empresas contratantes usam a aparência como critério de seleção de candidatos, além de controlarem, em excesso, a aparência dos funcionários. Isso ocorre porque as empresas temem que a aparência dos funcionários seja associada, negativamente, aos produtos e serviços oferecidos . Essa cobrança ajuda a explicar as recorrentes intervenções cirúrgicas e outros procedimentos para fins estéticos. O Brasil, por exemplo, ocupa a segunda colocação no “ranking” mundial de cirurgias plásticas, o que revela a obsessão pela beleza. Mesmo que os procedimentos estéticos possam melhorar a autoestima de homens e mulheres, vale ressaltar que grande parte desses procedimentos pode causar danos irreparáveis ao corpo e, sobretudo, à mente. Então, é preciso lembrar que o homem deve servir-se do corpo e não servir ao corpo como é comum em uma sociedade alienada pela indústria da beleza. Fica evidente, portanto, a necessidade de estabelecer limites à vaidade excessiva através dos meios de comunicação que, em vez de exibirem propagandas de incentivo à magreza e musculação, poderiam divulgar treinos e dietas saudáveis, de fato. Outro fator importante é punir legalmente empresas que discriminam funcionários em função da aparência. Dessa forma, a saúde ocupará o primeiro plano em vez da obsessão pelo físico."	9.50	2.00	2.00	1.50	2.00	2.00
"É preferível praticar ou sofrer uma injustiça?"	"A perpetuação da injustiça e os deveres dos cidadãos"	"A situação lancinante de indivíduos que tiveram suas causas analisadas de forma injusta é alarmante e sobrevive em todos os tempos e em todas as gerações, permitindo-os optar entre praticar ou sofrer uma injustiça, qual delas é moralmente considerável? A injustiça se dissemina sobretudo através da existência de desigualdades sociais que, antes mesmo do surgimento do capitalismo, já se faziam presente na sociedade, através da hierarquização das diferentes posições ocupadas pelos indivíduos, configurando assim um quadro constante de estratificação estamental. Nesse contexto, grande parcela da população encontra-se desamparada pela falta poder, força ou perspicácia, sendo vítimas das regras do regime estabelecido, mas por vezes, acusadas de serem co-participantes caso haja uma sublevação das mesmas. A doutrina filosófica utilitarista de Jeremy Bentham e John Stuart Mill, na qual a maximização da utilidade confere valor moral à a uma conduta justa pode ser contestada quando se considera, por exemplo, a condição de escravo na antiga civilização romana, caracterizada pela débil e ultrajante reputação para tais pessoas, na medida em que não levava em conta as liberdades individuais. Prisioneiros de guerras estavam sujeitos a lutas em arenas para o divertimento e felicidade do público em geral e, de certo modo, eles nada podiam exigir para a manutenção de sua segurança vital. As minorias (considerada também como escória) que compõem a grande escala da população devem, de acordo, com Karl Marx, juntar-se em prol de uma futura revolução de caráter proletário, visando suprimir o poder opressor da burguesia, para que isso se torne viável na hodiernidade, é necessário interferência no poder estatal à respeito do cumprimento de leis que criminalizam a prática da corrupção, geradora de tantas injustiças, além da apresentação à comunidade, em grande parte submetida aos ideais de cultura de massa, de princípios filosóficos de justiça social, sendo que deve ocorrer uma mitigação dos efeitos da injustiça, mas caso isso não seja possível, submeter-se, para a manutenção da ordem e garantia da virtude, defendida por Sócrates e Aristóteles, em contraposição ao caos, é mais adequado."	0.00	0.00	0.00	0.00	0.00	0.00
"A tecnologia e a eliminação de empregos"	"A evolução da concorrência"	"Abordada de maneira futurística e distante em ficções, tecnologia já se mostrou capaz de intervir e aos poucos substituir a atividade humana. O campo científico avançam cada vez mais sem que tenha um limite de até quando irão progredir com a inteligência artificial. Com isso, tendência da mão de obra cada vez mais automática traz uma expectativa de maior desigualdade social. Desse modo, classes menos favorecidas terão aumento no desemprego, enquanto os donos dos meios de produção investirão em tecnologias. Tais irão facilitar e com um retorno mais econômico e eficiente à longo prazo. Porém, a desenfreada movimentação do capitalismo dificulta a vida do trabalhar . As contraditórias leis trabalhistas, que asseguram seus direitos, é má vista por quem contrata quando há como optar por máquinas, por não possuírem tantas normas. É evidenciado , portanto, que por mais de um século, as revoluções industriais foram essenciais em como nossa sociedade se transformou ao longo do tempo. Mas, a tecnologia sempre esteve ao lado do homem, e é sua capacidade de se adaptar ao meio que o fez ir tão longe. Então, é necessário uma atualização, com projetos do governo, como ampliações de cursos técnicos, para produzir especialistas em manutenção e diversos eixos englobados à essa área. As escolas também podem ter seus conteúdos ampliados para que despertem interesses na área moderna, tornando assim, a era digital uma realidade na vida da sociedade."	2.50	0.50	0.50	0.50	0.50	0.50
"A tecnologia e a eliminação de empregos"	"Novos mercados"	"Muito se questiona a cerca dos avanços tecnológicos e seus males e benefícios para a sociedade. Hoje, o que mais se questiona é a influência negativa da tecnologia no mercado de trabalho, afinal, um dos principais parâmetros para uma nação próspera, é o baixo índice de desemprego. Na atual conjuntura mundial, na qual os estudiosos costumam chamar de, a quarta revolução industrial, preza-se por meios de produção com o melhor custo benefício, ou seja, se produz mais, em menor tempo. Esteiras motorizadas eram e ainda são excelente meio de produzir em alta escala. Atualmente as esteiras são equipadas com braços mecânicos que operam através de software e, assim dispensam grande intervenção humana. Embora pareça uma invasão robótica sem precedentes, que acabaria eliminando vários postos de trabalho, tem que se ponderar o vasto potencial da tecnologia embarcada nos computadores e robôs operados por software. O potencial para novos mercado de trabalho é enorme, apesar de exigir mão de obra qualificada. Ainda assim, existem outras perspectivas para o meio trabalhista . De acordo com o SEBRAE, há uma tendência de mercado por produtos exclusivos e customizados, algo ainda inviável para a robótica. Tal tendência se confirma, por exemplo, no sucesso e permanecia no mercado, de grifes de bolsas, como Louis Vuitton. Todas as grifes de mercado caracterizam-se por exclusividade e produção manual. Em suma, cabe ao mercado acompanhar aos avanços com medidas de qualificação , aplicando a oferta de novos cursos nas universidades focados nas novas tecnologias que surgirão. Enfim, postos de mercado se fecharão, outros se abrirão, e há ainda aqueles que ultrapassarão as barreiras do tempo."	5.50	1.00	1.50	1.00	1.00	1.00
"Artes e educação física: opcionais ou obrigatórias?"	"Educação de qualidade e abrangente"	"Houve muitas especulações e debates sobre a reforma do ensino médio brasileiro, muitos aprovaram, porém, houve desaprovações consideráveis, tanto que, a reforma foi suspensa. Segundo o governo que estava implantando a mesma , o objetivo era seguir os padrões de ensino de países que estão com a educação de alta qualidade. Porém, acredito que a solução dos problemas do nosso ensino, não estão na retirada das matérias, pois todas as que estão ali existem por motivos óbvios de aperfeiçoamento de habilidades, incentivo a outras, formação de caráter, raciocínio e de complementação ou introdução de conhecimento. Como testemunha do ensino médio brasileiro, chego a conclusão de que a qualidade está no conteúdo, no programa que constituem a matéria, neste caso, em artes e educação física. No entanto, artes costumava ser a leitura e a reprodução das obras mais famosas, mas, artes no meu ver, é música, dança, teatro, cinema. E a educação física vai muito além de vôlei e futsal, são jogos de raciocínio, exercícios variados, anatomia humana, conhecimento dos benefícios do esporte e os cuidados necessários, além disso, as variações dos esportes . E nada tira a responsabilidade dos governantes, precisa-se de estrutura e suporte para a “mágica” acontecer. Educação de qualidade é incentivo, suporte, rigor e vontade, não só dos alunos mas dos professores também. Não vamos tirar o conhecimento dos alunos, vamos nos aprofundar mais, cada matéria ensinando o essencial para a formação de uma sociedade crítica e bem instruída."	4.50	1.00	1.00	0.50	1.00	1.00
"É preferível praticar ou sofrer uma injustiça?"	"Filosofia de Sócrates e sua relação com o mundo atual"	"Sócrates dava ênfase a ideia de que a felicidade só podia ser conquistada por meio da virtude. Além disso, embarcava na afirmativa de que é preferível sofrer uma injustiça à vir cometer uma. Uma pessoa que tem virtudes acesas na personalidade seguiria o exemplo do filósofo por ter consciência de que a verdade sempre prevalece. Mas não é o que vemos por acontecendo . Percebemos cada vez mais a regressão dos valores humanos, colocando sempre a frente seus interesses mais ambiciosos e seu ego envaidecido, vindo a cometer, por exemplo, injustiças sociais das mais graves. Deveríamos tentar combater essa forma de “crime” aprimorando nossos valores, aperfeiçoando nossa personalidade, conquistando assim, uma predominância de justiça."	1.50	0.50	0.50	0.00	0.00	0.50
"A tecnologia e a eliminação de empregos"	"Extinção de empregos, apocalipse em menos de duas décadas"	"Estima-se que em menos de duas décadas, países desenvolvidos tecnologicamente como EUA, Reino Unido, China, Coreia do Sul e outros, terão alguns dos empregos nas áreas administrativas, de transporte, vendas e serviços, construção e fabricação literalmente escassos do mercado de trabalho, já que estão sendo elaborados softwares avançados e que estão levando certos robôs à perfeição para realizar atividades que antes realizadas por humanos levava a perda de tempo e alto custo. Alguns desses nossos colegas ainda não podem trabalhar sozinhos, muitos ainda precisam ser comandados por humanos, mas a meta esperada é que esses robôs possam realizar suas atividades sem comandos, o que preocupa muito pessoas que podem ter seus empregos roubados. Em um restaurante na cidade de Harbin, na China, garçons já foram substituídos por outros azuis e verdes capazes de receber clientes com 10 frases diferentes e reproduzir expressões faciais através de uma tela de LED. A grande multinacional de serviços online, Google, também vem testando carros capazes de se locomover sozinhos com ajuda de sensores e câmeras. Para Bill Gates, isso pode ser visto com pessimismo e otimismo. O segundo porque há chances de haver mais pessoas empreendedoras ou essas serem demandadas nas áreas que reinam o conhecimento humano. E o outro porque não sabemos a que ponto tal questão chegará. Todavia, algo deve ser feito pelo governo para evitar efeitos indesejados como uma próxima revolução industrial. Impostos deveriam ser reduzidos para encorajar empresas à contratação de funcionários e torná-los competitivos às máquinas."	3.00	1.00	1.00	0.50	0.50	0.00
"Perigos do universo digital"	"Educação tecnológica pode evitar perigos futuros"	"Em um mundo totalmente globalizado, a tecnologia vem tornando-se algo essencial para o desenvolvimentismo humano, no entanto a segurança que temos com os atuais dispositivos é quase nula, pois estamos expostos a diversos perigos vinda do mundo digital. Cada dia, meios tecnológicos torna-se algo mais acessível ao cidadão da era moderna, quanto a isso torna-se preocupante o uso da tecnologia precoce em crianças que são totalmente desinformadas sobre o perigo virtual. Abuso infantil ou até mesmo incentivos ao suicídio como casos recente da “Baleia Azul”, está tornando-se algo mais presente na sociedade, pois os criminosos conseguem de uma maneira mais acessível ao dialogo com um menor de idade com meios tecnológicos. Inclusão digital aos jovens e crianças vem tornando-se algo mais presente no mundo atual, porem ambos , geralmente, não passam por nenhum ensinamento de como se precaver de perigos oferecidos pela tecnologia, onde isso seria essencial para o bem estar e segurança do utilizador ."	1.50	0.50	0.50	0.50	0.00	0.00
"Escola no Brasil: com partido ou sem partido?"	"Militância partidária"	"Um grande debate surgiu sobre a conduta dos professores na sala de aula : de um lado, a organização Escola Sem Partido defende a ideia de que os professores aproveitam de suas posições de mestres e conduzem o pensamento político dos alunos. De outro, professores e educadores afirmam que é impossível ensinar humanidades sem se posicionar sobre uma ideologia. A escola possui o papel de formar cidadãos preparados para a vida em sociedade. Os profissionais que nela atuam detêm um posicionamento político que, se usado para persuadir os alunos, ferirá aos direitos dos mesmos Os estudantes, bem como a população de modo geral, têm o direito de pensar de forma crítica e de se apropriar de uma cultura , sem a intervenção de terceiros. Uma ideologia ser imposta pelos professores, é violar a liberdade de crença do aluno. Questões de natureza religiosa e moral são os únicos assuntos que necessitam de intervenção, pois cada família possui uma maneira de conduta. Fora isso, fica a critério de cada indivíduo sua forma de pensar politicamente. É possível que exista debates políticos em sala de aula mesmo com a lei Escola Sem Partido. O mestre em sala poderá conduzir um debate, porém, sem se posicionar sobre nenhum lado em questão. Todos os lados devem ser debatidos, questionados e aceitos. Portanto, é de extrema importância que professores e educadores tenham essa ideia em mente. Os estudantes terão uma oportunidade de pensar por si só, e poderão se tornar cidadãos mais conscientes e preparados para o cenário político."	4.50	1.00	1.00	1.00	1.00	0.50
"Escola no Brasil: com partido ou sem partido?"	"(Sem título 097)"	"Atualmente é muito discutido um problema na questão política que pode ter tido início em meados 1930 com o governo provisório de Getulio Vargas que induzia a população de baixa renda através de propostas educacionais. A situação abordada refere-se a politicagem introduzida nas instituições de ensino, e com isso podemos citar um fato que ocorre principalmente nas escolas públicas que acontece a partir de um programa chamado Bolsa Família e segundo o MEC 95% dos alunos participantes só frequentam a escola para conseguirem desembolsar os benefícios que o governo oferece as famílias carentes. Outro fato a ser abordado é a questão dos professores introduzirem sua opinião pessoal em questões políticas para favorecer algo ou alguém. Portanto medidas são necessárias para resolver o impasse e com isso foi criado uma proposta que tem como nome “Escola Sem Partido” onde existe deveres a serem cumpridas pelos educadores. Como cita o filósofo Immanuel Kant “O homem não é nada além daquilo que a educação faz dele” e assim não devemos em hipótese alguma aceitar esses abusos cometidos."	0.00	0.00	0.00	0.00	0.00	0.00
"Impeachment: a presidente deve perder o mandato?"	"A justiça e o povo"	"Muito se debate, hoje em dia sobre o impeachment contra a presidente Dilma Rousseff, que no dia 10 de setembro de 2015, os deputados da câmara contra e a favor do PT (Partido dos Trabalhadores), lançaram o movimento a favor do impedimento do governo da presidente. Em consequência disso, vê-se a todo instante as revoltas a revolta da população, povo enganado que agora não tem mais os benefícios prometidos, que quem prometeu já sabia que não poderia cumprir, o povo foi vítima de um golpe, pois no momento em que se quebra o equilíbrio fiscal, isto leva a inflação, desemprego, cujas consequências são gravíssimas para a classe mais pobre, inúmeros de brasileiros já perderam empregos com carteiras assinadas. Outro fator existente, é que os crimes de responsabilidades foram muitos e que sobraram provas verídicas a favor do impeachment. Alguns fatores já existentes no governo de Luis Luiz Inácio Lula da Silva e Fernando Henrique Cardoso, só que no governo da presidente atual, alcançou volumes extraordinários e por longo tempo “empurrando com a barriga” . Levando em consideração esses aspectos, o governo atual deveria ser mais justo com a população, tentando controlar essa “roubalheira”, havendo o impeachment, e a pessoa que assumisse o cargo fizesse um ajuste econômico, organizando a política como também o estado vergonhoso que o Brasil se encontra."	3.00	0.50	1.00	0.50	0.50	0.50
"Perigos do universo digital"	"Perigos do universo digital"	"A tecnologia, se não usada corretamente, pode trazer efeitos negativos na vida de uma pessoa. Isso se evidencia pelo grande número de perigos oferecidos pela rede , que podem ser desde problemas psicológicos, até práticas que colocam a imagem e segurança do indivíduo em risco. Em primeiro lugar, é necessário haver uma maior atenção às crianças e adolescentes. O cyberbullying, também conhecido como “assédio virtual”, é comum entre os jovens, a prática consiste em fazer piadas e brincadeiras ofensivas, a qual leva o indivíduo a desenvolver doenças como a depressão e muitas vezes pode levar ao suicídio. Ademais, com a facilidade existente em compartilhar arquivos, é muito simples divulgar imagens e vídeos pornográficos, podendo ser feitos como forma de vingança por parte de antigos cônjuges. Portanto, para resolução do impasse , cabe aos pais maior atenção em relação ao conteúdo acessado por seus filhos. Para pornografia e ao cyberbullying, é necessária uma intervenção governamental, o Ministério dos Direitos Humanos deve promover uma maior fiscalização a este tipo de crime, juntamente com penas mais rígidas."	5.00	1.00	1.00	1.00	1.00	1.00
