mS#theme	S#title	S#text	cC#comp1	iC#comp2	iC#comp3	iC#comp4	iC#comp5
"forma fisica, corpo perfeito e consumismo"	"corpolatria"	"a busca incessante pelo corpo perfeito remonta a antiguidade e, tambem, vem ganhando destaque na atualidade. esse fenomeno, conhecido como corpolatria, e resultado de uma sociedade narcisista e altamente influenciavel pela midia que, por sua vez, impoe um rigido padrao de beleza e aceitacao social. tal padrao funciona como uma ferramenta de discriminacao social e pode gerar riscos a saude, o que justifica, portanto, a necessidade de repensar os limites da vaidade. desde a grecia antiga, o culto ao corpo tornou-se uma questao tao importante que originou ate uma competicao grandiosa: os jogos olimpicos de atenas. nessa competicao, o vigor fisico e a perfeicao corporal tornaram-se criterios de beleza, da mesma forma que, no mundo contemporaneo, essas caracteristicas sao usadas como sinonimos de “status” e, ate mesmo, vantagem profissional. no ambito profissional, as empresas contratantes usam a aparencia como criterio de selecao de candidatos, alem de controlarem, em excesso, a aparencia dos funcionarios. isso ocorre porque as empresas temem que a aparencia dos funcionarios seja associada, negativamente, aos produtos e servicos oferecidos . essa cobranca ajuda a explicar as recorrentes intervencoes cirurgicas e outros procedimentos para fins esteticos. o brasil, por exemplo, ocupa a segunda colocacao no “ranking” mundial de cirurgias plasticas, o que revela a obsessao pela beleza. mesmo que os procedimentos esteticos possam melhorar a autoestima de homens e mulheres, vale ressaltar que grande parte desses procedimentos pode causar danos irreparaveis ao corpo e, sobretudo, a mente. entao, e preciso lembrar que o homem deve servir-se do corpo e nao servir ao corpo como e comum em uma sociedade alienada pela industria da beleza. fica evidente, portanto, a necessidade de estabelecer limites a vaidade excessiva atraves dos meios de comunicacao que, em vez de exibirem propagandas de incentivo a magreza e musculacao, poderiam divulgar treinos e dietas saudaveis, de fato. outro fator importante e punir legalmente empresas que discriminam funcionarios em funcao da aparencia. dessa forma, a saude ocupara o primeiro plano em vez da obsessao pelo fisico."	2.00	2.00	1.50	2.00	2.00
"e preferivel praticar ou sofrer uma injustica?"	"a perpetuacao da injustica e os deveres dos cidadaos"	"a situacao lancinante de individuos que tiveram suas causas analisadas de forma injusta e alarmante e sobrevive em todos os tempos e em todas as geracoes, permitindo-os optar entre praticar ou sofrer uma injustica, qual delas e moralmente consideravel? a injustica se dissemina sobretudo atraves da existencia de desigualdades sociais que, antes mesmo do surgimento do capitalismo, ja se faziam presente na sociedade, atraves da hierarquizacao das diferentes posicoes ocupadas pelos individuos, configurando assim um quadro constante de estratificacao estamental. nesse contexto, grande parcela da populacao encontra-se desamparada pela falta poder, forca ou perspicacia, sendo vitimas das regras do regime estabelecido, mas por vezes, acusadas de serem co-participantes caso haja uma sublevacao das mesmas. a doutrina filosofica utilitarista de jeremy bentham e john stuart mill, na qual a maximizacao da utilidade confere valor moral a a uma conduta justa pode ser contestada quando se considera, por exemplo, a condicao de escravo na antiga civilizacao romana, caracterizada pela debil e ultrajante reputacao para tais pessoas, na medida em que nao levava em conta as liberdades individuais. prisioneiros de guerras estavam sujeitos a lutas em arenas para o divertimento e felicidade do publico em geral e, de certo modo, eles nada podiam exigir para a manutencao de sua seguranca vital. as minorias (considerada tambem como escoria) que compoem a grande escala da populacao devem, de acordo, com karl marx, juntar-se em prol de uma futura revolucao de carater proletario, visando suprimir o poder opressor da burguesia, para que isso se torne viavel na hodiernidade, e necessario interferencia no poder estatal a respeito do cumprimento de leis que criminalizam a pratica da corrupcao, geradora de tantas injusticas, alem da apresentacao a comunidade, em grande parte submetida aos ideais de cultura de massa, de principios filosoficos de justica social, sendo que deve ocorrer uma mitigacao dos efeitos da injustica, mas caso isso nao seja possivel, submeter-se, para a manutencao da ordem e garantia da virtude, defendida por socrates e aristoteles, em contraposicao ao caos, e mais adequado."	0.00	0.00	0.00	0.00	0.00
"a tecnologia e a eliminacao de empregos"	"a evolucao da concorrencia"	"abordada de maneira futuristica e distante em ficcoes, tecnologia ja se mostrou capaz de intervir e aos poucos substituir a atividade humana. o campo cientifico avancam cada vez mais sem que tenha um limite de ate quando irao progredir com a inteligencia artificial. com isso, tendencia da mao de obra cada vez mais automatica traz uma expectativa de maior desigualdade social. desse modo, classes menos favorecidas terao aumento no desemprego, enquanto os donos dos meios de producao investirao em tecnologias. tais irao facilitar e com um retorno mais economico e eficiente a longo prazo. porem, a desenfreada movimentacao do capitalismo dificulta a vida do trabalhar . as contraditorias leis trabalhistas, que asseguram seus direitos, e ma vista por quem contrata quando ha como optar por maquinas, por nao possuirem tantas normas. e evidenciado , portanto, que por mais de um seculo, as revolucoes industriais foram essenciais em como nossa sociedade se transformou ao longo do tempo. mas, a tecnologia sempre esteve ao lado do homem, e e sua capacidade de se adaptar ao meio que o fez ir tao longe. entao, e necessario uma atualizacao, com projetos do governo, como ampliacoes de cursos tecnicos, para produzir especialistas em manutencao e diversos eixos englobados a essa area. as escolas tambem podem ter seus conteudos ampliados para que despertem interesses na area moderna, tornando assim, a era digital uma realidade na vida da sociedade."	0.50	0.50	0.50	0.50	0.50
"a tecnologia e a eliminacao de empregos"	"novos mercados"	"muito se questiona a cerca dos avancos tecnologicos e seus males e beneficios para a sociedade. hoje, o que mais se questiona e a influencia negativa da tecnologia no mercado de trabalho, afinal, um dos principais parametros para uma nacao prospera, e o baixo indice de desemprego. na atual conjuntura mundial, na qual os estudiosos costumam chamar de, a quarta revolucao industrial, preza-se por meios de producao com o melhor custo beneficio, ou seja, se produz mais, em menor tempo. esteiras motorizadas eram e ainda sao excelente meio de produzir em alta escala. atualmente as esteiras sao equipadas com bracos mecanicos que operam atraves de software e, assim dispensam grande intervencao humana. embora pareca uma invasao robotica sem precedentes, que acabaria eliminando varios postos de trabalho, tem que se ponderar o vasto potencial da tecnologia embarcada nos computadores e robos operados por software. o potencial para novos mercado de trabalho e enorme, apesar de exigir mao de obra qualificada. ainda assim, existem outras perspectivas para o meio trabalhista . de acordo com o sebrae, ha uma tendencia de mercado por produtos exclusivos e customizados, algo ainda inviavel para a robotica. tal tendencia se confirma, por exemplo, no sucesso e permanecia no mercado, de grifes de bolsas, como louis vuitton. todas as grifes de mercado caracterizam-se por exclusividade e producao manual. em suma, cabe ao mercado acompanhar aos avancos com medidas de qualificacao , aplicando a oferta de novos cursos nas universidades focados nas novas tecnologias que surgirao. enfim, postos de mercado se fecharao, outros se abrirao, e ha ainda aqueles que ultrapassarao as barreiras do tempo."	1.00	1.50	1.00	1.00	1.00
"artes e educacao fisica: opcionais ou obrigatorias?"	"educacao de qualidade e abrangente"	"houve muitas especulacoes e debates sobre a reforma do ensino medio brasileiro, muitos aprovaram, porem, houve desaprovacoes consideraveis, tanto que, a reforma foi suspensa. segundo o governo que estava implantando a mesma , o objetivo era seguir os padroes de ensino de paises que estao com a educacao de alta qualidade. porem, acredito que a solucao dos problemas do nosso ensino, nao estao na retirada das materias, pois todas as que estao ali existem por motivos obvios de aperfeicoamento de habilidades, incentivo a outras, formacao de carater, raciocinio e de complementacao ou introducao de conhecimento. como testemunha do ensino medio brasileiro, chego a conclusao de que a qualidade esta no conteudo, no programa que constituem a materia, neste caso, em artes e educacao fisica. no entanto, artes costumava ser a leitura e a reproducao das obras mais famosas, mas, artes no meu ver, e musica, danca, teatro, cinema. e a educacao fisica vai muito alem de volei e futsal, sao jogos de raciocinio, exercicios variados, anatomia humana, conhecimento dos beneficios do esporte e os cuidados necessarios, alem disso, as variacoes dos esportes . e nada tira a responsabilidade dos governantes, precisa-se de estrutura e suporte para a “magica” acontecer. educacao de qualidade e incentivo, suporte, rigor e vontade, nao so dos alunos mas dos professores tambem. nao vamos tirar o conhecimento dos alunos, vamos nos aprofundar mais, cada materia ensinando o essencial para a formacao de uma sociedade critica e bem instruida."	1.00	1.00	0.50	1.00	1.00
"e preferivel praticar ou sofrer uma injustica?"	"filosofia de socrates e sua relacao com o mundo atual"	"socrates dava enfase a ideia de que a felicidade so podia ser conquistada por meio da virtude. alem disso, embarcava na afirmativa de que e preferivel sofrer uma injustica a vir cometer uma. uma pessoa que tem virtudes acesas na personalidade seguiria o exemplo do filosofo por ter consciencia de que a verdade sempre prevalece. mas nao e o que vemos por acontecendo . percebemos cada vez mais a regressao dos valores humanos, colocando sempre a frente seus interesses mais ambiciosos e seu ego envaidecido, vindo a cometer, por exemplo, injusticas sociais das mais graves. deveriamos tentar combater essa forma de “crime” aprimorando nossos valores, aperfeicoando nossa personalidade, conquistando assim, uma predominancia de justica."	0.50	0.50	0.00	0.00	0.50
"a tecnologia e a eliminacao de empregos"	"extincao de empregos, apocalipse em menos de duas decadas"	"estima-se que em menos de duas decadas, paises desenvolvidos tecnologicamente como eua, reino unido, china, coreia do sul e outros, terao alguns dos empregos nas areas administrativas, de transporte, vendas e servicos, construcao e fabricacao literalmente escassos do mercado de trabalho, ja que estao sendo elaborados softwares avancados e que estao levando certos robos a perfeicao para realizar atividades que antes realizadas por humanos levava a perda de tempo e alto custo. alguns desses nossos colegas ainda nao podem trabalhar sozinhos, muitos ainda precisam ser comandados por humanos, mas a meta esperada e que esses robos possam realizar suas atividades sem comandos, o que preocupa muito pessoas que podem ter seus empregos roubados. em um restaurante na cidade de harbin, na china, garcons ja foram substituidos por outros azuis e verdes capazes de receber clientes com 10 frases diferentes e reproduzir expressoes faciais atraves de uma tela de led. a grande multinacional de servicos online, google, tambem vem testando carros capazes de se locomover sozinhos com ajuda de sensores e cameras. para bill gates, isso pode ser visto com pessimismo e otimismo. o segundo porque ha chances de haver mais pessoas empreendedoras ou essas serem demandadas nas areas que reinam o conhecimento humano. e o outro porque nao sabemos a que ponto tal questao chegara. todavia, algo deve ser feito pelo governo para evitar efeitos indesejados como uma proxima revolucao industrial. impostos deveriam ser reduzidos para encorajar empresas a contratacao de funcionarios e torna-los competitivos as maquinas."	1.00	1.00	0.50	0.50	0.00
"perigos do universo digital"	"educacao tecnologica pode evitar perigos futuros"	"em um mundo totalmente globalizado, a tecnologia vem tornando-se algo essencial para o desenvolvimentismo humano, no entanto a seguranca que temos com os atuais dispositivos e quase nula, pois estamos expostos a diversos perigos vinda do mundo digital. cada dia, meios tecnologicos torna-se algo mais acessivel ao cidadao da era moderna, quanto a isso torna-se preocupante o uso da tecnologia precoce em criancas que sao totalmente desinformadas sobre o perigo virtual. abuso infantil ou ate mesmo incentivos ao suicidio como casos recente da “baleia azul", esta tornando-se algo mais presente na sociedade, pois os criminosos conseguem de uma maneira mais acessivel ao dialogo com um menor de idade com meios tecnologicos. inclusao digital aos jovens e criancas vem tornando-se algo mais presente no mundo atual, porem ambos , geralmente, nao passam por nenhum ensinamento de como se precaver de perigos oferecidos pela tecnologia, onde isso seria essencial para o bem estar e seguranca do utilizador ."	0.50	0.50	0.50	0.00	0.00
"escola no brasil: com partido ou sem partido?"	"militancia partidaria"	"um grande debate surgiu sobre a conduta dos professores na sala de aula : de um lado, a organizacao escola sem partido defende a ideia de que os professores aproveitam de suas posicoes de mestres e conduzem o pensamento politico dos alunos. de outro, professores e educadores afirmam que e impossivel ensinar humanidades sem se posicionar sobre uma ideologia. a escola possui o papel de formar cidadaos preparados para a vida em sociedade. os profissionais que nela atuam detem um posicionamento politico que, se usado para persuadir os alunos, ferira aos direitos dos mesmos os estudantes, bem como a populacao de modo geral, tem o direito de pensar de forma critica e de se apropriar de uma cultura , sem a intervencao de terceiros. uma ideologia ser imposta pelos professores, e violar a liberdade de crenca do aluno. questoes de natureza religiosa e moral sao os unicos assuntos que necessitam de intervencao, pois cada familia possui uma maneira de conduta. fora isso, fica a criterio de cada individuo sua forma de pensar politicamente. e possivel que exista debates politicos em sala de aula mesmo com a lei escola sem partido. o mestre em sala podera conduzir um debate, porem, sem se posicionar sobre nenhum lado em questao. todos os lados devem ser debatidos, questionados e aceitos. portanto, e de extrema importancia que professores e educadores tenham essa ideia em mente. os estudantes terao uma oportunidade de pensar por si so, e poderao se tornar cidadaos mais conscientes e preparados para o cenario politico."	1.00	1.00	1.00	1.00	0.50
"escola no brasil: com partido ou sem partido?"	"(sem titulo 097)"	"atualmente e muito discutido um problema na questao politica que pode ter tido inicio em meados 1930 com o governo provisorio de getulio vargas que induzia a populacao de baixa renda atraves de propostas educacionais. a situacao abordada refere-se a politicagem introduzida nas instituicoes de ensino, e com isso podemos citar um fato que ocorre principalmente nas escolas publicas que acontece a partir de um programa chamado bolsa familia e segundo o mec 95% dos alunos participantes so frequentam a escola para conseguirem desembolsar os beneficios que o governo oferece as familias carentes. outro fato a ser abordado e a questao dos professores introduzirem sua opiniao pessoal em questoes politicas para favorecer algo ou alguem. portanto medidas sao necessarias para resolver o impasse e com isso foi criado uma proposta que tem como nome “escola sem partido” onde existe deveres a serem cumpridas pelos educadores. como cita o filosofo immanuel kant “o homem nao e nada alem daquilo que a educacao faz dele” e assim nao devemos em hipotese alguma aceitar esses abusos cometidos."	0.00	0.00	0.00	0.00	0.00
"impeachment: a presidente deve perder o mandato?"	"a justica e o povo"	"muito se debate, hoje em dia sobre o impeachment contra a presidente dilma rousseff, que no dia 10 de setembro de 2015, os deputados da camara contra e a favor do pt (partido dos trabalhadores), lancaram o movimento a favor do impedimento do governo da presidente. em consequencia disso, ve-se a todo instante as revoltas a revolta da populacao, povo enganado que agora nao tem mais os beneficios prometidos, que quem prometeu ja sabia que nao poderia cumprir, o povo foi vitima de um golpe, pois no momento em que se quebra o equilibrio fiscal, isto leva a inflacao, desemprego, cujas consequencias sao gravissimas para a classe mais pobre, inumeros de brasileiros ja perderam empregos com carteiras assinadas. outro fator existente, e que os crimes de responsabilidades foram muitos e que sobraram provas veridicas a favor do impeachment. alguns fatores ja existentes no governo de luis luiz inacio lula da silva e fernando henrique cardoso, so que no governo da presidente atual, alcancou volumes extraordinarios e por longo tempo “empurrando com a barriga” . levando em consideracao esses aspectos, o governo atual deveria ser mais justo com a populacao, tentando controlar essa “roubalheira", havendo o impeachment, e a pessoa que assumisse o cargo fizesse um ajuste economico, organizando a politica como tambem o estado vergonhoso que o brasil se encontra."	0.50	1.00	0.50	0.50	0.50
"perigos do universo digital"	"perigos do universo digital"	"a tecnologia, se nao usada corretamente, pode trazer efeitos negativos na vida de uma pessoa. isso se evidencia pelo grande numero de perigos oferecidos pela rede , que podem ser desde problemas psicologicos, ate praticas que colocam a imagem e seguranca do individuo em risco. em primeiro lugar, e necessario haver uma maior atencao as criancas e adolescentes. o cyberbullying, tambem conhecido como “assedio virtual", e comum entre os jovens, a pratica consiste em fazer piadas e brincadeiras ofensivas, a qual leva o individuo a desenvolver doencas como a depressao e muitas vezes pode levar ao suicidio. ademais, com a facilidade existente em compartilhar arquivos, e muito simples divulgar imagens e videos pornograficos, podendo ser feitos como forma de vinganca por parte de antigos conjuges. portanto, para resolucao do impasse , cabe aos pais maior atencao em relacao ao conteudo acessado por seus filhos. para pornografia e ao cyberbullying, e necessaria uma intervencao governamental, o ministerio dos direitos humanos deve promover uma maior fiscalizacao a este tipo de crime, juntamente com penas mais rigidas."	1.00	1.00	1.00	1.00	1.00
